"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3581714299308","15.4555130026429","15.425801422767","15.2334119698638","14.9622581103018","14.8811736482071","14.8935228204879","14.935868267218","15.0322501509609","14.9978537659326","14.9529698140698","14.9473357056406","14.9537847372987","14.6933706301318","14.4723562836371","14.325275182304","14.1930991772745","14.0918854398734","14.4122712263793","15.3258461224085","15.2974208807909","14.8763508284819","14.382402309536","13.973205883159","13.6584042509589","13.7002363003171","13.5904060688979","13.5756969121351","13.8593160744174","14.9970295071242","14.9551818976239","13.6202170443066","13.3678095636379",
"Afghanistan","AFG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.312","10.259","10.154","10.099","10.099","10.148","10.151","10.182","10.201","10.235","10.254","10.234","10.189","10.2","10.181","10.197","10.098","10.135","10.008","9.99","10.003","10.054","10.112","10.094","12.55","14.947","17.31","16.394","15.496","16.053","16.395","17.365","17.291",
"Africa Western and Central","AFW","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.48124931837196","7.61747465825857","7.76409286632871","7.76487227520223","7.75117997223201","7.67103273616238","7.62974509228864","7.64083461963736","7.92695296185043","7.99478588591554","7.9243022511404","7.69135836261689","7.58178258314998","7.48752872404329","7.55501317780154","7.40248304469473","7.39835407688067","7.45672217197847","7.53999483840094","7.56422580878595","7.52183952755969","7.53342117269461","7.08774159809303","7.44716733577593","7.93211146586928","7.82307373111408","7.96812718344374","7.96840460415033","8.02978693227363","8.73404088986023","7.7225604082426","5.97640665169662","5.57812197212481",
"Angola","AGO","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.921","40.157","41.01","40.967","40.054","38.492","38.212","38.568","38.967","39.083","39.051","38.542","38.511","38.222","38.154","37.809","37.696","37.863","38.315","38.752","39.007","37.741","36.781","35.803","35.151","34.482","33.71","32.838","31.832","33.067","30.171","28.288","28.075",
"Albania","ALB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.974","46.599","39.531","32.955","23.294","22.291","26.942","32.055","33.381","30.555","29.859","28.769","27.512","26.6","26.242","25.877","26.645","26.605","27.357","30.867","22.697","28.871","31.207","39.554","39.628","35.918","31.184","28.109","26.942","28.117","27.244","24.735","24.817",
"Andorra","AND","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.7973143748928","25.0462868100367","26.8861720964957","27.1716610733937","27.9104345569152","25.7522151735505","24.7833585673736","24.7377757848752","24.425399432898","26.1248987877377","26.5774843662638","26.2065341097519","26.6165860020832","25.0917002442377","25.4000672766306","24.4778080372503","23.3428283545003","23.4914215982214","22.5151915551464","23.2180375046734","25.4958245227378","27.7433833239562","27.6933382370137","27.4180377859525","28.9177215085513","28.3802242645208","29.1199763067244","27.5723407725862","26.0866655838244","28.1643315312006","26.7429591168975","24.8247319226013","26.0730510191544",
"United Arab Emirates","ARE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.912","4.048","4.283","4.298","4.345","4.482","4.574","4.773","4.967","5.124","5.615","6.178","6.827","7.36","8.045","7.92","7.799","7.541","7.467","7.191","6.857","6.468","6.118","5.825","5.447","5.11","7.474","6.747","7.325","13.482","9.737","9.992","6.467",
"Argentina","ARG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.633","13.794","22.198","25.788","40.689","37.012","32.265","27.73","30.512","32.348","37.036","41.378","32.933","29.544","26.207","23.777","20.241","18.927","21.184","19.381","18.71","18.34","19.555","19.137","20.27","21.793","22.843","23.845","25.842","30.428","23.373","19.004","17.946",
"Armenia","ARM","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.967","1.977","5.749","7.276","7.208","9.937","11.529","10.207","12.293","12.254","12.207","12.107","12.034","11.996","11.968","11.945","11.931","35.678","39.726","37.647","38.184","34.345","35.096","36.411","31.871","35.656","37.721","33.631","32.526","32.205","30.532","26.354","26.135",
"American Samoa","ASM","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.476","19.272","18.536","16.872","15.196","15.641","15.839","14.458","13.111","12.084","13.476","12.794","11.962","11.366","10.619","10.026","9.36","8.814","11.461","11.548","11.37","11.728","12.22","13.311","13.11","12.642","12.592","11.787","11.756","14.219","11.248","8.459","8.375",
"Austria","AUT","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.715","4.13","4.661","4.958","5.909","6.842","7.554","7.486","5.921","6.285","6.001","7.137","7.429","10.991","11.178","10.046","9.596","8.72","10.896","9.673","9.173","9.561","9.767","10.508","10.91","11.424","9.971","9.572","8.767","10.325","12.023","10.327","10.98",
"Azerbaijan","AZE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.672","3.324","8.294","11.614","13.302","15.018","16.946","18.727","20.446","22.121","22.102","21.604","18.959","18.243","15.332","14.691","13.45","13.74","13.685","14.64","14.52","13.974","13.478","13.415","13.363","12.908","12.37","11.623","11.474","15.129","14.691","13.808","13.751",
"Burundi","BDI","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","3.883","3.84","3.847","3.834","3.829","3.854","3.883","3.85","3.846","3.859","3.871","3.846","3.881","3.867","3.897","3.033","2.134","2.206","2.301","2.406","2.541","2.712","2.927","2.671","2.449","2.218","1.986","1.746","1.69","1.767","1.687","1.684",
"Belgium","BEL","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.958","13.204","18.431","21.866","21.539","20.495","21.278","20.394","22.58","15.249","15.332","15.652","18.982","17.505","21.482","20.511","18.841","17.97","21.94","22.391","18.724","19.738","23.689","23.225","22.125","20.108","19.236","15.748","14.236","15.326","18.206","16.41","16.122",
"Benin","BEN","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.744","1.685","1.631","1.563","1.447","1.372","1.256","1.184","1.09","1.003","0.909","0.826","0.984","1.135","1.308","1.457","1.597","1.717","1.903","2.138","5.448","4.987","4.458","4.008","3.75","3.495","3.152","2.702","2.302","2.973","3.231","3.134","3.116",
"Burkina Faso","BFA","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.863","3.898","3.806","3.964","3.922","3.835","3.803","3.842","3.983","4.151","4.239","4.389","4.328","5.399","6.279","5.761","5.209","5.522","5.862","5.965","6.18","6.307","6.643","6.975","7.335","7.604","7.811","7.991","7.999","8.905","8.645","8.557","8.403",
"Bangladesh","BGD","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.038","6.114","6.271","6.389","6.523","6.656","7.41","8.187","8.971","9.746","8.823","7.782","6.606","7.758","8.79","7.255","8.024","8.797","9.556","6.289","7.429","8.538","9.674","10.121","10.56","10.956","12.101","11.829","11.594","13.29","12.441","10.985","10.895",
"Bulgaria","BGR","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.403","29.31","31.672","24.984","21.905","24.905","27.349","24.578","28.354","33.208","39.087","35.608","27.057","24.497","22.391","19.578","15.183","12.804","16.263","21.95","25.056","28.11","28.374","23.774","21.653","17.224","12.927","12.676","8.898","14.214","15.823","10.742","12.048",
"Bahrain","BHR","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.999","3.849","3.505","3.836","3.883","4.099","4.037","4.065","4.139","4.19","4.238","4.115","3.978","3.819","3.757","3.865","4.014","4.28","4.678","4.953","5.278","5.425","5.439","5.402","5.427","5.53","5.607","5.64","5.654","6.365","6.034","5.375","5.519",
"Bahamas, The","BHS","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.043","27.432","23.451","25.596","21.336","24.636","23.139","16.196","15.972","15.595","15.354","20.594","24.928","21.974","20.453","16.6","19.164","17.184","26.216","26.766","27.229","30.716","34.897","29.326","25.109","26.159","21.58","24.235","19.503","24.284","22.019","19.157","18.127",
